FalsosPositivos,ServidorCI,Acoplamiento,Herramienta
105,GitHub,Alto,SonarQube
101,GitHub,Alto,Checkmark
113,GitHub,Alto,Veracode
95,GitHub,Bajo,SonarQube
94,GitHub,Bajo,Checkmark
102,GitHub,Bajo,Veracode
105,CircleCI,Alto,SonarQube
104,CircleCI,Alto,Checkmark
110,CircleCI,Alto,Veracode
99,CircleCI,Bajo,SonarQube
94,CircleCI,Bajo,Checkmark
101,CircleCI,Bajo,Veracode
111,Jenkins,Alto,SonarQube
112,Jenkins,Alto,Checkmark
109,Jenkins,Alto,Veracode
102,Jenkins,Bajo,SonarQube
105,Jenkins,Bajo,Checkmark
111,Jenkins,Bajo,Veracode
111,Bitbucket,Alto,SonarQube
116,Bitbucket,Alto,Checkmark
115,Bitbucket,Alto,Veracode
105,Bitbucket,Bajo,SonarQube
103,Bitbucket,Bajo,Checkmark
108,Bitbucket,Bajo,Veracode
107,GitHub,Alto,SonarQube
104,GitHub,Alto,Checkmark
106,GitHub,Alto,Veracode
95,GitHub,Bajo,SonarQube
94,GitHub,Bajo,Checkmark
97,GitHub,Bajo,Veracode
110,CircleCI,Alto,SonarQube
104,CircleCI,Alto,Checkmark
110,CircleCI,Alto,Veracode
99,CircleCI,Bajo,SonarQube
98,CircleCI,Bajo,Checkmark
102,CircleCI,Bajo,Veracode
112,Jenkins,Alto,SonarQube
114,Jenkins,Alto,Checkmark
113,Jenkins,Alto,Veracode
108,Jenkins,Bajo,SonarQube
101,Jenkins,Bajo,Checkmark
104,Jenkins,Bajo,Veracode
116,Bitbucket,Alto,SonarQube
115,Bitbucket,Alto,Checkmark
118,Bitbucket,Alto,Veracode
112,Bitbucket,Bajo,SonarQube
109,Bitbucket,Bajo,Checkmark
111,Bitbucket,Bajo,Veracode
